Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module simulate.uut.U3_RAM_B.inst.native_mem_module.blk_mem_gen_v8_4_11_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
WARNING: This core is supplied with a behavioral model. To model cycle-accurate behavior you must run timing simulation.
PC: 0x00000294 | instruction: 0x00051703 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x0000cffd | x15: 0x047e36da
PC: 0x00000298 | instruction: 0x00255783 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x0000cffd | x15: 0x047e36da
PC: 0x0000029c | instruction: 0x00f747b3 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x0000cffd | x15: 0x047e36da
PC: 0x0000029c | instruction: 0x00f747b3 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x0000cffd | x15: 0x047e36da
PC: 0x000002a0 | instruction: 0x40175713 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x00000000 | x15: 0x047e36da
PC: 0x000002a4 | instruction: 0x00e7c7b3 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x00000000 | x15: 0x00000000
PC: 0x000002a8 | instruction: 0x00f51123 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x00000000 | x15: 0x047ef927
PC: 0x000002ac | instruction: 0x00052783 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x00000000 | x15: 0x047ef927
PC: 0x000002b0 | instruction: 0x0001c737 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x00000000 | x15: 0x047ef927
PC: 0x000002b4 | instruction: 0xf5270713 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x00000000 | x15: 0x00000000
PC: 0x000002b8 | instruction: 0x00e7c7b3 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x00000000 | x15: 0x00000000
PC: 0x000002bc | instruction: 0x00f52023 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x00000000 | x15: 0x00000000
PC: 0x000002c0 | instruction: 0x4107d713 | x1: 0x00000278 | x2: 0x00000400 | x10: 0xe059e551 | x14: 0x0001c000 | x15: 0x00000000
Simulation Finished.
$finish called at time : 3456 ns : File "G:/system/simulate.v" Line 57
